,FileName,Label Title,Time Recorded,Probe_Orientation
520,MS04-20200213-173406_00520.png,MS04-20200213-173406_00520_segmentation.png,129.39,Cross-section
521,MS04-20200213-173406_00521.png,MS04-20200213-173406_00521_segmentation.png,129.71,Cross-section
522,MS04-20200213-173406_00522.png,MS04-20200213-173406_00522_segmentation.png,130.02,Cross-section
523,MS04-20200213-173406_00523.png,MS04-20200213-173406_00523_segmentation.png,130.36,Cross-section
524,MS04-20200213-173406_00524.png,MS04-20200213-173406_00524_segmentation.png,130.67,Cross-section
525,MS04-20200213-173406_00525.png,MS04-20200213-173406_00525_segmentation.png,130.99,Cross-section
526,MS04-20200213-173406_00526.png,MS04-20200213-173406_00526_segmentation.png,131.3,Cross-section
527,MS04-20200213-173406_00527.png,MS04-20200213-173406_00527_segmentation.png,131.65,Cross-section
528,MS04-20200213-173406_00528.png,MS04-20200213-173406_00528_segmentation.png,131.98,Cross-section
529,MS04-20200213-173406_00529.png,MS04-20200213-173406_00529_segmentation.png,132.3,Cross-section
