,FileName,Label Title,Time Recorded,Probe_Orientation
80,MS01-20200210-132740_00080.png,MS01-20200210-132740_00080_segmentation.png,17.09,Cross-section
81,MS01-20200210-132740_00081.png,MS01-20200210-132740_00081_segmentation.png,17.3,Cross-section
82,MS01-20200210-132740_00082.png,MS01-20200210-132740_00082_segmentation.png,17.52,Cross-section
83,MS01-20200210-132740_00083.png,MS01-20200210-132740_00083_segmentation.png,17.73,Cross-section
84,MS01-20200210-132740_00084.png,MS01-20200210-132740_00084_segmentation.png,17.93,Cross-section
85,MS01-20200210-132740_00085.png,MS01-20200210-132740_00085_segmentation.png,18.16,Cross-section
86,MS01-20200210-132740_00086.png,MS01-20200210-132740_00086_segmentation.png,18.37,Cross-section
87,MS01-20200210-132740_00087.png,MS01-20200210-132740_00087_segmentation.png,18.6,Cross-section
88,MS01-20200210-132740_00088.png,MS01-20200210-132740_00088_segmentation.png,18.8,Cross-section
89,MS01-20200210-132740_00089.png,MS01-20200210-132740_00089_segmentation.png,19.01,Cross-section
